Modelo,Ano,Preço,KM,Estado
 Peugeot 2008 GRIFFE ,2018, R$ 72.999 ,58104,Minas Gerais
 Hyundai ix35 AUTOMATICO FLEX ,2016, R$ 80.999 ,88500,Minas Gerais
 Mini Countryman S ALL4 TURBO ,2014, R$ 120.999 ,52597,São Paulo
 Volkswagen Golf TSI COMFORTLINE ,2015, R$ 73.499 ,78190,São Paulo
 Ford Fusion TITANIUM FWD ,2018, R$ 111.299 ,51614,São Paulo
 Renault Duster SCE DYNAMIQUE ,2017, R$ 63.799 ,79350,São Paulo
 Volkswagen Golf TSI GTI TURBO ,2015, R$ 125.799 ,105830,São Paulo
 Mini Cooper TWINPOWER S ,2020, R$ 194.299 ,7830,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 70.799 ,92100,São Paulo
 Audi Q3 TFSI ATTRACTION QUATTRO ,2014, R$ 92.999 ,95000,São Paulo
 Mitsubishi ASX AWD ,2016, R$ 79.799 ,72610,São Paulo
 Hyundai Santa Fé MPFI V6 ,2016, R$ 106.799 ,107151,São Paulo
 Peugeot 2008 GRIFFE ,2017, R$ 63.299 ,70250,Minas Gerais
 Honda City DX ,2019, R$ 70.499 ,23530,Minas Gerais
 Volkswagen T-Cross 200 TSI COMFORTLINE ,2021, R$ 113.299 ,6450,Minas Gerais
 Jeep Renegade MOAB ,2021, R$ 135.799 ,14672,Minas Gerais
 Chevrolet Onix MPFI ACTIV ,2017, R$ 60.299 ,77550,Minas Gerais
 Ford Focus S ,2015, R$ 54.299 ,77000,Minas Gerais
 Hyundai Azera MPFI GLS V6 ,2014, R$ 73.999 ,101500,Minas Gerais
 Ford Fusion TITANIUM AWD ,2017, R$ 104.799 ,69700,Minas Gerais
 Hyundai HB20X STYLE ,2018, R$ 68.999 ,71537,Minas Gerais
 Renault Captur SCE  INTENSE ,2020, R$ 85.499 ,32330,Minas Gerais
 Ford Eco Sport FREESTYLE PLUS ,2017, R$ 64.999 ,77696,Minas Gerais
 Peugeot 2008 ALLURE ,2018, R$ 63.799 ,75889,Minas Gerais
