Modelo,Ano,Preço,KM,Estado
 Hyundai Tucson MPFI GLS 2WD ,2017, R$ 63.299 ,96090,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2013, R$ 49.299 ,98150,Rio de Janeiro
 Honda Fit EX ,2013, R$ 51.299 ,111000,Minas Gerais
 Ford Focus SE FASTBACK ,2016, R$ 58.799 ,82820,São Paulo
 Fiat Palio MPI SPORTING ,2015, R$ 47.299 ,63430,Rio de Janeiro
 Hyundai HB20 OCEAN ,2017, R$ 62.999 ,78738,São Paulo
 Chevrolet Cobalt 1.4 MPFI LTZ ,2020, R$ 75.299 ,23177,São Paulo
 Kia Sportage LX ,2015, R$ 82.299 ,100275,São Paulo
 Chevrolet Montana MPFI LS CS ,2019, R$ 57.299 ,58050,Minas Gerais
 Citroën Aircross GLX ,2014, R$ 41.799 ,76000,Rio de Janeiro
 Chevrolet Onix TURBO  PLUS LTZ ,2020, R$ 78.799 ,23461,Rio de Janeiro
 Volkswagen Up MPI MOVE UP ,2015, R$ 39.499 ,103130,São Paulo
 Peugeot 208 ACTIVE ,2017, R$ 43.999 ,97247,São Paulo
 Chevrolet Spin PREMIER ,2020, R$ 82.999 ,35440,São Paulo
 Chevrolet Onix MPFI JOY ,2017, R$ 47.299 ,93550,São Paulo
 Nissan Kicks START SL ,2019, R$ 99.499 ,48121,São Paulo
 Ford Fiesta SEL HATCH ,2017, R$ 54.299 ,86790,Minas Gerais
 Chevrolet Onix MPFI LTZ ,2016, R$ 57.799 ,93470,Rio de Janeiro
 Renault Sandero STEPWAY ,2016, R$ 47.799 ,98000,São Paulo
 Toyota Yaris SEDAN XL PLUS TECH MULTDRIVE ,2019, R$ 79.299 ,48160,Rio de Janeiro
 Volkswagen Fox MI ,2014, R$ 42.499 ,91080,São Paulo
 Chevrolet Onix MPFI JOY ,2018, R$ 49.499 ,72100,São Paulo
 Renault Sandero STEPWAY ,2016, R$ 48.499 ,93260,São Paulo
 Citroën C3 EXCLUSIVE ,2014, R$ 42.999 ,109542,São Paulo
 Renault Duster TECH ROAD II ,2015, R$ 53.799 ,95560,São Paulo
 Hyundai I30 MPI ,2016, R$ 81.499 ,65510,São Paulo
 Chevrolet Cobalt SFI LT ,2013, R$ 41.299 ,110000,São Paulo
 Toyota RAV4 AUTOMATICO GASOLINA ,2014, R$ 84.799 ,101560,Minas Gerais
 Ford Fiesta S HATCH ,2015, R$ 42.499 ,73270,Rio de Janeiro
 Ford Focus SE FASTBACK ,2018, R$ 64.999 ,60000,São Paulo
 Chevrolet Onix MPFI LT ,2019, R$ 56.799 ,55610,Rio de Janeiro
 Volkswagen Fox MSI RUN ,2017, R$ 54.299 ,105419,Minas Gerais
 Hyundai HB20 UNIQUE ,2019, R$ 55.499 ,43796,São Paulo
 Hyundai HB20 PREMIUM ,2017, R$ 66.299 ,49600,São Paulo
 Chery Tiggo 7 TXS Turbo  Aut ,2020, R$ 118.999 ,35800,Rio de Janeiro
 Hyundai HB20 COMFORT ,2018, R$ 54.299 ,74330,São Paulo
 Hyundai HB20 COMFORT PLUS ,2016, R$ 48.999 ,90620,Minas Gerais
 Honda Fit LX ,2015, R$ 61.999 ,88000,Minas Gerais
 Renault Kwid SCE ZEN ,2019, R$ 45.299 ,52740,Minas Gerais
 Hyundai Tucson T-GDI GL ECOSHIFT ,2017, R$ 102.299 ,72640,São Paulo
 Chevrolet Onix MPFI LT ,2017, R$ 50.799 ,81000,São Paulo
 Renault Clio EXPRESSION ,2015, R$ 29.799 ,77697,Rio de Janeiro
 Ford Ka TI-VCT SE ,2016, R$ 41.499 ,104020,São Paulo
 Chevrolet Onix MPFI LT ,2019, R$ 57.299 ,40110,São Paulo
 Toyota Corolla XEI ,2018, R$ 100.499 ,73504,São Paulo
 Honda Civic LXS ,2013, R$ 61.999 ,109206,Minas Gerais
 Hyundai Tucson T-GDI GLS ECOSHIFT ,2018, R$ 120.999 ,78000,São Paulo
 Nissan Sentra SV START ,2018, R$ 77.499 ,47750,Minas Gerais
 Chevrolet Onix MPFI ACTIV ,2019, R$ 73.799 ,48280,São Paulo
 Fiat Toro EVO FREEDOM ,2017, R$ 85.799 ,96590,Rio de Janeiro
 Hyundai HB20S PREMIUM ,2014, R$ 53.299 ,91180,Rio de Janeiro
 Hyundai I30 MPI ,2015, R$ 68.799 ,74768,São Paulo
 Hyundai HB20S PREMIUM ,2015, R$ 55.499 ,86638,São Paulo
 Honda Fit EX ,2016, R$ 68.499 ,65770,Rio de Janeiro
 Hyundai HB20 COMFORT ,2018, R$ 54.299 ,69802,São Paulo
 Ford Fiesta S HATCH ,2014, R$ 40.499 ,105440,Rio de Janeiro
 Chevrolet Onix MPFI LT ,2019, R$ 67.799 ,46090,Rio de Janeiro
 Hyundai HB20 TGDI  DIAMOND PLUS ,2020, R$ 83.999 ,35800,Minas Gerais
 Hyundai HB20 PREMIUM ,2015, R$ 55.499 ,65200,Rio de Janeiro
 Volkswagen Fox MI ,2014, R$ 41.999 ,63140,Rio de Janeiro
 Chevrolet Onix MPFI LT ,2016, R$ 47.799 ,61260,São Paulo
 Fiat Strada MPI HARD WORKING CS ,2019, R$ 59.799 ,55337,Rio de Janeiro
 Fiat Idea MPI ADVENTURE ,2015, R$ 45.499 ,32013,Rio de Janeiro
 Renault Duster SCE EXPRESSION ,2019, R$ 75.499 ,39480,Minas Gerais
 Jac J2 GASOLINA MANUAL ,2014, R$ 24.299 ,86000,Rio de Janeiro
 Chevrolet Onix MPFI LTZ ,2013, R$ 45.299 ,100070,Rio de Janeiro
 Honda Fit EXL ,2019, R$ 89.299 ,39807,Rio de Janeiro
 Honda Fit LX ,2011, R$ 38.999 ,112080,Rio de Janeiro
 Renault Sandero STEPWAY ,2012, R$ 35.299 ,89115,Rio de Janeiro
 Fiat Punto ESSENCE ,2011, R$ 31.499 ,88010,Rio de Janeiro
 Chevrolet Tracker MPFI LTZ ,2015, R$ 71.299 ,76747,Rio de Janeiro
 Ford Eco Sport XLT ,2010, R$ 37.299 ,99131,Rio de Janeiro
 Honda Fit EX ,2016, R$ 67.499 ,100170,Rio de Janeiro
 Toyota Yaris XLS MULTIDRIVE ,2019, R$ 85.299 ,46760,Rio de Janeiro
 Volkswagen Virtus MSI TOTAL ,2019, R$ 75.299 ,31320,Rio de Janeiro
 Chevrolet Onix LT ,2020, R$ 67.799 ,20044,Rio de Janeiro
 Volkswagen Virtus 200 TSI HIGHLINE ,2019, R$ 86.799 ,35000,Rio de Janeiro
 Fiat Punto BLACKMOTION ,2017, R$ 64.799 ,52500,Rio de Janeiro
 Ford Fiesta TITANIUM HATCH ,2015, R$ 51.299 ,95780,São Paulo
 Chevrolet Onix MPFI LTZ ,2013, R$ 45.799 ,74500,Rio de Janeiro
 Ford Ka TI-VCT SE ,2016, R$ 41.799 ,95400,Rio de Janeiro
 Fiat 500 CULT ,2012, R$ 42.299 ,78000,Rio de Janeiro
 Kia Picanto EX ,2017, R$ 46.499 ,63000,Rio de Janeiro
 Fiat Punto ESSENCE ,2012, R$ 35.299 ,78380,Rio de Janeiro
 Volkswagen Up TSI MOVE UP ,2017, R$ 57.299 ,97560,Minas Gerais
 Volkswagen Fox MI PLUS ,2010, R$ 32.499 ,58045,Rio de Janeiro
 Volkswagen Fusca TSI ,2013, R$ 102.299 ,73650,São Paulo
 Hyundai HB20 COMFORT PLUS ,2017, R$ 50.799 ,71199,São Paulo
 Nissan Versa START SV ,2017, R$ 55.799 ,88290,São Paulo
 Ford Fiesta ROCAM HATCH ,2013, R$ 31.299 ,74600,São Paulo
 Chevrolet Onix MPFI JOY ,2018, R$ 49.799 ,57590,São Paulo
 Chevrolet Cobalt MPFI LTZ ,2015, R$ 44.499 ,102360,São Paulo
 Toyota Corolla VVT-IE  ALTIS DIRECT SHIFT ,2020, R$ 143.999 ,46420,São Paulo
 Hyundai HB20 COMFORT STYLE ,2015, R$ 50.299 ,81667,São Paulo
 Hyundai HB20 COMFORT ,2018, R$ 54.499 ,52756,São Paulo
 Peugeot 208 ACTIVE PACK ,2016, R$ 43.799 ,92000,Minas Gerais
 Hyundai HB20 COMFORT PLUS ,2018, R$ 54.499 ,57000,São Paulo
 Ford Fiesta SE HATCH ,2015, R$ 44.299 ,92370,Minas Gerais
 Chery Arrizo 5 VVT TURBO i RX ,2020, R$ 73.499 ,37700,São Paulo
 Fiat Palio MPI ATTRACTIVE ,2015, R$ 36.799 ,95230,São Paulo
 Kia Cerato SX ,2017, R$ 71.999 ,92370,São Paulo
 Ford Edge LIMITED VISTAROOF FWD V6 ,2014, R$ 80.299 ,98370,São Paulo
 Ford Focus SE PLUS ,2017, R$ 62.499 ,73000,Minas Gerais
 Bmw 320i GT SPORT TURBO ,2016, R$ 139.799 ,78803,São Paulo
 Chevrolet Onix TURBO  PREMIER ,2020, R$ 85.799 ,44825,Rio de Janeiro
 Hyundai HB20 COMFORT PLUS ,2019, R$ 67.499 ,49300,São Paulo
 Honda Fit LX ,2017, R$ 72.799 ,69804,São Paulo
 Nissan Sentra SV ,2018, R$ 77.299 ,58623,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2016, R$ 59.999 ,88200,Minas Gerais
 Renault Duster SCE EXPRESSION ,2019, R$ 75.499 ,41170,São Paulo
 Toyota Etios XS SEDAN ,2018, R$ 58.799 ,79700,Rio de Janeiro
 Ford Eco Sport TI-VCT SE ,2019, R$ 75.499 ,37030,Minas Gerais
 Ford Focus SE ,2018, R$ 70.499 ,48437,São Paulo
 Volkswagen Fox MI ROCK IN RIO ,2016, R$ 52.499 ,54430,São Paulo
 Volkswagen T-Cross 200 TSI TOTAL COMFORTLINE ,2020, R$ 106.799 ,45540,São Paulo
 Toyota Corolla GLI ,2011, R$ 49.799 ,88600,Rio de Janeiro
 Volkswagen T-Cross 200 TSI TOTAL COMFORTLINE ,2020, R$ 106.799 ,43771,São Paulo
 Ford Fiesta S HATCH ,2016, R$ 45.799 ,89640,São Paulo
 Volkswagen Virtus 200 TSI HIGHLINE ,2019, R$ 86.799 ,32257,São Paulo
 Chevrolet Onix MPFI LT ,2017, R$ 50.499 ,92245,São Paulo
 Chevrolet Onix MPFI LS ,2015, R$ 44.299 ,83290,São Paulo
 Renault Sandero HI- RS ,2016, R$ 52.999 ,81400,Minas Gerais
 Chevrolet Onix MPFI LTZ ,2018, R$ 65.799 ,58660,Minas Gerais
 Fiat Argo FIREFLY ,2020, R$ 59.299 ,18000,Rio de Janeiro
 Hyundai HB20 UNIQUE ,2019, R$ 55.499 ,44000,São Paulo
 Volvo Xc40 T5 MOMENTUM AWD ,2019, R$ 186.799 ,42000,São Paulo
 Nissan Versa SV ,2018, R$ 58.499 ,58040,Minas Gerais
 Chevrolet Spin LT ,2014, R$ 44.499 ,65906,Rio de Janeiro
 Ford Eco Sport TI-VCT SE ,2019, R$ 75.499 ,34570,São Paulo
 Fiat Palio MPI ESSENCE ,2013, R$ 35.499 ,103730,São Paulo
 Chevrolet Onix MPFI LT ,2019, R$ 56.799 ,50745,Rio de Janeiro
 Renault Sandero STEPWAY ,2014, R$ 39.799 ,87290,Rio de Janeiro
 Toyota RAV4 TOP ,2018, R$ 134.799 ,71450,São Paulo
 Chevrolet Onix MPFI LTZ ,2017, R$ 61.299 ,48660,Rio de Janeiro
 Hyundai HB20 SENSE ,2020, R$ 58.799 ,27730,Minas Gerais
 Kia Soul EX ,2014, R$ 60.799 ,86000,São Paulo
 Citroën C3 EXCLUSIVE ,2017, R$ 55.299 ,57000,Rio de Janeiro
 Honda Fit LX ,2019, R$ 82.299 ,37245,São Paulo
 Citroën C3 ATTRACTION ,2015, R$ 38.799 ,104780,São Paulo
 Hyundai I30 MPI ,2016, R$ 81.299 ,72050,São Paulo
 Chevrolet Prisma MPFI LTZ ,2019, R$ 67.799 ,49869,São Paulo
 Chevrolet Onix MPFI LS ,2016, R$ 46.799 ,80490,Rio de Janeiro
 Ford Ka TI-VCT SE ,2015, R$ 40.299 ,82120,Minas Gerais
 Chevrolet Onix MPFI LTZ ,2018, R$ 66.299 ,42400,São Paulo
 Fiat Argo FIREFLY DRIVE ,2018, R$ 54.799 ,68775,São Paulo
 Ford Eco Sport TIVCT FREESTYLE ,2018, R$ 75.999 ,41500,São Paulo
 Hyundai HB20 COMFORT ,2018, R$ 54.799 ,49350,Rio de Janeiro
 Toyota Corolla XEI ,2019, R$ 107.799 ,55500,São Paulo
 Jac T40 GASOLINA CVT ,2019, R$ 68.299 ,53000,São Paulo
 Honda Hr-V EX ,2020, R$ 113.499 ,46259,Minas Gerais
 Renault Fluence DYNAMIQUE PLUS ,2017, R$ 58.499 ,72460,Minas Gerais
 Honda Fit LX ,2017, R$ 72.799 ,70410,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2016, R$ 59.799 ,102000,Rio de Janeiro
 Chevrolet Onix MPFI LTZ ,2015, R$ 50.499 ,79800,São Paulo
 Volkswagen Saveiro CROSS CE ,2016, R$ 70.499 ,99030,Minas Gerais
 Volkswagen Fox MI TRENDLINE ,2015, R$ 44.499 ,66000,São Paulo
 Chevrolet Onix MPFI LT ,2018, R$ 63.799 ,53295,São Paulo
 Citroën C3 TENDANCE ,2016, R$ 42.499 ,81490,São Paulo
 Chevrolet Onix MPFI LT ,2013, R$ 39.799 ,110605,Rio de Janeiro
 Chevrolet Onix MPFI LS ,2015, R$ 44.999 ,44465,São Paulo
 Nissan Sentra SV ,2016, R$ 56.999 ,110186,Minas Gerais
 Chevrolet Onix MPFI LT ,2017, R$ 50.799 ,74320,Minas Gerais
 Renault Sandero SCE EXPRESSION ,2018, R$ 46.999 ,63890,São Paulo
 Hyundai Tucson T-GDI GLS ECOSHIFT ,2018, R$ 121.299 ,75050,São Paulo
 Honda Civic LXR ,2016, R$ 75.499 ,82660,São Paulo
 Fiat 500 CULT ,2014, R$ 46.799 ,89000,São Paulo
 Ford Eco Sport TI-VCT SE ,2020, R$ 77.999 ,20095,São Paulo
 Volkswagen Up MPI MOVE UP ,2018, R$ 55.499 ,67000,Minas Gerais
 Kia Sportage EX ,2015, R$ 88.299 ,97784,São Paulo
 Fiat 500 CULT ,2012, R$ 41.799 ,102730,Minas Gerais
 Hyundai HB20 COMFORT PLUS ,2017, R$ 50.799 ,76650,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2015, R$ 55.799 ,75260,São Paulo
 Hyundai HB20 COMFORT STYLE ,2014, R$ 46.799 ,98700,Minas Gerais
 Fiat Grand Siena MPI ESSENCE ,2015, R$ 44.299 ,62000,São Paulo
 Nissan March S ,2017, R$ 42.299 ,73390,São Paulo
 Hyundai HB20 PREMIUM ,2018, R$ 71.999 ,42000,Minas Gerais
 Ford Ka TI-VCT SE PLUS ,2015, R$ 40.299 ,79180,Rio de Janeiro
 Honda Civic LXR ,2014, R$ 66.999 ,108650,Minas Gerais
 Honda Civic LXR ,2015, R$ 71.799 ,87600,Minas Gerais
 Fiat Palio MPI FIRE ,2017, R$ 37.299 ,69560,Minas Gerais
 Fiat Argo FIREFLY DRIVE ,2018, R$ 58.799 ,69185,Minas Gerais
 Volkswagen Polo MI ,2013, R$ 37.299 ,111460,São Paulo
 Chevrolet Spin ACTIV ,2019, R$ 81.299 ,52633,Rio de Janeiro
 Toyota Corolla GLI ,2014, R$ 60.799 ,102000,São Paulo
 Toyota Corolla XEI ,2013, R$ 61.499 ,100639,Rio de Janeiro
 Nissan March S ,2015, R$ 38.499 ,110770,São Paulo
 Volkswagen Fox MSI HIGHLINE ,2016, R$ 50.999 ,105000,São Paulo
 Audi A5 TFSI SPORTBACK PRESTIGE ,2019, R$ 217.799 ,32390,São Paulo
 Kia Cerato SX ,2018, R$ 78.799 ,49215,São Paulo
 Citroën Aircross SHINE ,2016, R$ 58.499 ,69300,Rio de Janeiro
 Chevrolet Tracker MPFI LTZ ,2015, R$ 70.999 ,82360,Minas Gerais
 Honda Fit LX ,2016, R$ 67.799 ,87000,São Paulo
 Bmw X1 TURBO ACTIVE SDRIVE20I GP ,2020, R$ 195.999 ,37260,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2013, R$ 48.999 ,106000,Minas Gerais
 Honda Civic EXS ,2013, R$ 69.299 ,109384,Minas Gerais
 Volkswagen Virtus 200 TSI COMFORTLINE ,2019, R$ 80.999 ,41310,São Paulo
 Chevrolet Onix MPFI LTZ ,2018, R$ 66.799 ,55700,São Paulo
 Honda Fit LX ,2015, R$ 62.299 ,80111,Rio de Janeiro
 Land Rover Discovery 4 SE V6 BI-TURBO ,2015, R$ 173.799 ,104500,São Paulo
 Ford Eco Sport XLT ,2011, R$ 39.299 ,91400,São Paulo
 Toyota Corolla XEI ,2018, R$ 100.799 ,64049,Minas Gerais
 Ford Eco Sport TI-VCT FREESTYLE ,2020, R$ 84.999 ,19030,Minas Gerais
 Ford Fiesta TITANIUM PLUS HATCH ,2017, R$ 61.299 ,60042,São Paulo
 Kia Sportage EX ,2014, R$ 82.499 ,110510,São Paulo
 Hyundai HB20 COMFORT ,2018, R$ 54.499 ,53670,São Paulo
 Hyundai HB20 COMFORT PLUS ,2019, R$ 68.499 ,43217,São Paulo
 Hyundai HB20 COMFORT PLUS ,2018, R$ 58.299 ,58105,São Paulo
 Ford Fiesta MPI CLASS HATCH ,2013, R$ 30.999 ,103000,Minas Gerais
 Hyundai Tucson MPFI GLS 2WD ,2016, R$ 59.999 ,97370,São Paulo
 Volkswagen T-Cross 200 TSI TOTAL COMFORTLINE ,2020, R$ 107.299 ,32770,Rio de Janeiro
 Fiat Argo FIREFLY DRIVE ,2020, R$ 58.999 ,27640,Minas Gerais
 Toyota Etios XS SEDAN ,2018, R$ 60.999 ,62300,São Paulo
 Chevrolet Onix MPFI LT ,2019, R$ 56.999 ,44000,Minas Gerais
 Ford Eco Sport TI-VCT FREESTYLE ,2020, R$ 84.499 ,31700,São Paulo
 Toyota Corolla XRS ,2018, R$ 102.299 ,56000,São Paulo
 Hyundai HB20 COMFORT PLUS ,2015, R$ 45.799 ,108388,São Paulo
 Ford Edge LIMITED AWD V6 ,2014, R$ 80.299 ,96800,São Paulo
 Chevrolet Celta MPFI LT ,2015, R$ 33.499 ,103468,Minas Gerais
 Chevrolet Spin LTZ ,2015, R$ 55.999 ,105700,São Paulo
 Volkswagen Up TSI MOVE UP ,2016, R$ 50.299 ,107205,São Paulo
 Ford Focus SE PLUS ,2016, R$ 60.299 ,84100,São Paulo
 Honda Fit EX ,2017, R$ 74.299 ,47000,São Paulo
 Kia Sportage EX ,2014, R$ 83.299 ,92053,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2014, R$ 52.799 ,110000,São Paulo
 Citroën Aircross VTI 120 LIVE E ,2019, R$ 67.299 ,38690,Minas Gerais
 Hyundai HB20 COMFORT ,2017, R$ 50.299 ,98650,São Paulo
 Honda Fit LX ,2019, R$ 82.499 ,35170,São Paulo
 Chevrolet Onix MPFI LTZ ,2018, R$ 66.999 ,46500,São Paulo
 Toyota Corolla GLI ,2014, R$ 60.999 ,90485,Rio de Janeiro
 Citroën C3 PURE TECH ATTRACTION ,2018, R$ 47.799 ,71160,São Paulo
 Chevrolet Onix MPFI JOY ,2018, R$ 49.999 ,49090,São Paulo
 Chevrolet Prisma MPFI LTZ ,2014, R$ 48.799 ,83878,São Paulo
 Fiat Grand Siena MPI ATTRACTIVE ,2016, R$ 43.999 ,77740,São Paulo
 Volkswagen Virtus 200 TSI COMFORTLINE ,2019, R$ 81.499 ,26000,São Paulo
 Hyundai Veloster AUTOMATICO GASOLINA ,2013, R$ 64.799 ,84200,São Paulo
 Hyundai HB20 VISION ,2020, R$ 62.499 ,14000,Rio de Janeiro
 Chevrolet Onix MPFI LT ,2018, R$ 52.999 ,70391,São Paulo
 Toyota Etios X ,2014, R$ 38.299 ,107386,Rio de Janeiro
 Toyota Hilux SR CD ,2015, R$ 107.999 ,102737,São Paulo
 Volkswagen T-Cross 200 TSI TOTAL ,2020, R$ 101.799 ,35250,São Paulo
 Toyota Yaris XLS MULTIDRIVE ,2020, R$ 91.999 ,30881,São Paulo
 Nissan Sentra SV START ,2018, R$ 76.999 ,62555,São Paulo
 Hyundai HB20X PREMIUM ,2015, R$ 58.499 ,69754,São Paulo
 Chevrolet Prisma MPFI LT ,2016, R$ 46.299 ,90060,Rio de Janeiro
 Chevrolet Onix MPFI LTZ ,2017, R$ 64.299 ,67300,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2015, R$ 55.799 ,78000,Minas Gerais
 Renault Sandero EXPRESSION ,2017, R$ 42.999 ,98760,São Paulo
 Volkswagen Virtus 200 TSI COMFORTLINE ,2019, R$ 80.799 ,51000,São Paulo
 Nissan March S ,2014, R$ 35.799 ,100085,Rio de Janeiro
 Ford Eco Sport DIRECT TITANIUM ,2019, R$ 83.299 ,51700,Rio de Janeiro
 Honda Fit EXL ,2019, R$ 89.999 ,22000,São Paulo
 Hyundai HB20 R SPEC ,2017, R$ 58.299 ,48300,Rio de Janeiro
 Honda Fit EXL ,2020, R$ 94.499 ,30522,São Paulo
 Mercedes Benz GLA 200 CGI ADVANCE ,2018, R$ 155.499 ,44355,São Paulo
 Chevrolet Tracker MPFI LTZ ,2015, R$ 70.299 ,112230,São Paulo
 Honda Fit LX ,2017, R$ 70.499 ,70000,Minas Gerais
 Toyota Corolla XEI ,2018, R$ 100.999 ,56826,São Paulo
 Hyundai HB20 UNIQUE ,2019, R$ 55.299 ,46810,São Paulo
 Honda Fit EX ,2017, R$ 74.299 ,50470,São Paulo
 Honda Fit LX ,2017, R$ 73.499 ,46250,São Paulo
 Ford Focus SE PLUS FASTBACK ,2018, R$ 64.799 ,72280,São Paulo
 Toyota Corolla GLI ,2018, R$ 86.999 ,67360,São Paulo
 Toyota Etios XLS ,2017, R$ 58.799 ,74200,Minas Gerais
 Toyota Etios XS SEDAN ,2018, R$ 58.999 ,66780,Minas Gerais
 Toyota Yaris XL MULTIDRIVE ,2020, R$ 80.299 ,15000,Rio de Janeiro
 Fiat Punto ATTRACTIVE ,2014, R$ 38.499 ,95600,São Paulo
 Nissan Sentra S START ,2019, R$ 80.499 ,43000,São Paulo
 Hyundai HB20 EVOLUTION ,2020, R$ 69.499 ,30630,São Paulo
 Chevrolet Onix MPFI LT ,2015, R$ 44.499 ,94551,Rio de Janeiro
 Hyundai HB20S PREMIUM ,2014, R$ 52.799 ,111030,São Paulo
 Honda Fit LX ,2017, R$ 72.799 ,70640,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2015, R$ 55.299 ,111465,Minas Gerais
 Renault Logan EXPRESSION ,2016, R$ 42.999 ,81260,São Paulo
 Fiat Argo FIREFLY DRIVE ,2018, R$ 54.799 ,71700,São Paulo
 Honda Civic LXR ,2014, R$ 67.499 ,84500,Minas Gerais
 Chevrolet Onix MPFI LTZ ,2019, R$ 67.799 ,56110,São Paulo
 Chevrolet Onix MPFI ACTIV ,2019, R$ 74.499 ,20025,São Paulo
 Volkswagen Up MPI HIGH UP ,2017, R$ 52.999 ,49355,São Paulo
 Hyundai HB20S COMFORT STYLE ,2015, R$ 52.799 ,40450,Minas Gerais
 Chevrolet Onix MPFI LTZ ,2018, R$ 66.799 ,57590,São Paulo
 Honda Fit EX ,2020, R$ 87.999 ,31300,São Paulo
 Nissan March FLEX MANUAL ,2013, R$ 30.299 ,69850,Minas Gerais
 Mitsubishi Lancer HL-T ,2019, R$ 77.799 ,54375,São Paulo
 Chevrolet Cobalt MPFI ELITE ,2016, R$ 58.499 ,85750,Rio de Janeiro
 Ford Fiesta ROCAM SE ,2014, R$ 30.299 ,105820,São Paulo
 Ford Ka MPI ,2013, R$ 25.499 ,87400,Minas Gerais
 Ford Focus TITANIUM FASTBACK ,2016, R$ 62.799 ,72210,São Paulo
 Ford Eco Sport DIRECT TITANIUM ,2018, R$ 79.999 ,39080,Rio de Janeiro
 Renault Duster DYNAMIQUE ,2015, R$ 52.499 ,108020,São Paulo
 Ford Focus SE FASTBACK ,2017, R$ 61.999 ,54700,São Paulo
 Volkswagen Virtus 200 TSI COMFORTLINE ,2019, R$ 80.799 ,46000,São Paulo
 Honda Fit LX ,2019, R$ 81.999 ,42679,Minas Gerais
 Renault Logan SCE EXPRESSION EASY-R ,2017, R$ 42.999 ,74340,São Paulo
 Citroën C4 Cactus VTI 120 FEEL ,2019, R$ 75.299 ,51360,São Paulo
 Toyota Etios X ,2016, R$ 44.799 ,81000,São Paulo
 Chevrolet Spin LTZ ,2019, R$ 80.799 ,56180,Minas Gerais
 Chevrolet Celta MPFI LT ,2014, R$ 31.299 ,103000,São Paulo
 Fiat Punto ESSENCE ,2016, R$ 47.299 ,77700,São Paulo
 Hyundai HB20 COMFORT PLUS ,2019, R$ 59.799 ,46802,Rio de Janeiro
 Citroën C3 VTI 120 EXCLUSIVE E ,2018, R$ 61.299 ,47100,Minas Gerais
 Ford Eco Sport TI-VCT FREESTYLE ,2020, R$ 84.799 ,22485,Minas Gerais
 Honda Fit EXL ,2017, R$ 77.999 ,62000,Minas Gerais
 Toyota Corolla GLI UPPER ,2018, R$ 88.499 ,69515,São Paulo
 Chevrolet Onix MPFI LT ,2017, R$ 50.499 ,87660,Minas Gerais
 Nissan March S ,2013, R$ 33.299 ,113265,Rio de Janeiro
 Toyota Yaris SEDAN XL PLUS TECH MULTDRIVE ,2019, R$ 79.799 ,40500,Rio de Janeiro
 Chevrolet Spin LTZ ,2016, R$ 59.499 ,86500,São Paulo
 Renault Sandero STEPWAY ,2016, R$ 48.299 ,70000,São Paulo
 Fiat Uno EVO WAY ,2013, R$ 33.799 ,54300,Rio de Janeiro
 Mercedes Benz GLA 200 CGI ADVANCE ,2019, R$ 173.799 ,29500,São Paulo
 Fiat 500 SPORT AIR ,2012, R$ 45.299 ,103700,São Paulo
 Volkswagen Virtus 200 TSI HIGHLINE ,2019, R$ 86.999 ,28995,Minas Gerais
 Toyota Corolla XEI ,2018, R$ 100.799 ,62510,Minas Gerais
 Volkswagen Up TSI MOVE UP ,2017, R$ 57.999 ,69283,Minas Gerais
 Fiat Argo FIREFLY DRIVE ,2019, R$ 61.999 ,51252,São Paulo
 Volkswagen Up TSI SPEED UP ,2017, R$ 60.499 ,59715,São Paulo
 Fiat Grand Siena MPI ESSENCE ,2015, R$ 43.499 ,108280,São Paulo
 Hyundai HB20 COMFORT PLUS ,2019, R$ 59.999 ,40426,São Paulo
 Chevrolet Onix FLEX LT ,2021, R$ 73.799 ,5000,Rio de Janeiro
 Hyundai HB20 COMFORT PLUS ,2014, R$ 46.799 ,103470,São Paulo
 Citroën C3 PURETECH ,2017, R$ 47.299 ,89800,São Paulo
 Honda Fit LX ,2015, R$ 61.499 ,108843,São Paulo
 Renault Kwid SCE ZEN ,2018, R$ 42.499 ,72410,Minas Gerais
 Hyundai HB20 UNIQUE ,2019, R$ 55.799 ,28781,São Paulo
 Hyundai HB20 COMFORT ,2017, R$ 50.299 ,92115,São Paulo
 Toyota Yaris XS MULTIDRIVE ,2019, R$ 80.799 ,41528,Minas Gerais
 Ford Eco Sport TI-VCT FREESTYLE ,2020, R$ 84.999 ,13000,Rio de Janeiro
 Hyundai HB20 PREMIUM ,2019, R$ 73.999 ,24402,São Paulo
 Volkswagen Fox MI TREND ,2012, R$ 32.499 ,85500,Minas Gerais
 Ford Eco Sport TI-VCT TITANIUM ,2020, R$ 87.299 ,33580,São Paulo
 Volkswagen Fox MI TREND ,2012, R$ 32.299 ,110000,São Paulo
 Hyundai Tucson MPFI GLS 2WD ,2015, R$ 55.299 ,111000,São Paulo
 Honda Fit EX ,2016, R$ 68.299 ,77402,São Paulo
 Toyota Corolla GLI UPPER ,2019, R$ 94.799 ,47860,São Paulo
 Volkswagen Spacefox MSI COMFORTLINE ,2015, R$ 50.499 ,110440,Rio de Janeiro
